mark,human_pitch,human_roll,human_yaw,elapsed_time
not-aided,0.0,0.0,0.0,1581432115.176418
not-aided,0.0,0.0,0.0,1581432115.276607
not-aided,0.0,0.0,0.0,1581432115.376656
not-aided,0.0,0.0,0.0,1581432115.476595
not-aided,0.0,0.0,0.0,1581432115.576563
not-aided,0.0,0.0,0.0,1581432115.676579
not-aided,0.0,0.0,0.0,1581432115.776608
not-aided,0.0,0.0,0.0,1581432115.876591
not-aided,0.0,0.0,0.0,1581432115.976545
not-aided,0.0,0.0,0.0,1581432116.07655
not-aided,-0.00040759720661784354,-0.00019681890325865247,-0.00019977520366436767,1581432116.176647
not-aided,-0.0003963818554298076,-0.00018581256479876257,-0.0001589822325589434,1581432116.27674
not-aided,-0.00042144952017163445,-0.000189036475576646,-0.00012698782068215893,1581432116.376678
not-aided,-0.0003766228417352029,-0.00016264459154309251,-0.00020953551604743884,1581432116.476717
